OWNER_CIK,OWNER_NAME,Weighted_Return_6M,Weighted_Return_1Y,Weighted_Return_18M,Weighted_SP500_6M,Weighted_SP500_1Y,Weighted_SP500_18M,Weighted_Sector_6M,Weighted_Sector_1Y,Weighted_Sector_18M,Return_vs_SP500_6M,Return_vs_SP500_1Y,Return_vs_SP500_18M,Return_vs_Sector_6M,Return_vs_Sector_1Y,Return_vs_Sector_18M,Avg_Transaction_Value,Total_Transaction_Value,Transaction_Count,Number_of_Companies,Most_Common_Company,Most_Active_Sector,Most_Common_Company_Cap_Category,Earliest_Transaction_Year,Most_Recent_Transaction_Year,Unique_Transaction_Years
1244969,BETHANCOURT JOHN E,-0.25,-0.31,-0.44,0.05,0.10,0.18,-0.02,-0.06,-0.10,-0.30,-0.41,-0.63,-0.23,-0.25,-0.34,308363.744,1541818.72,5,1,DVN,Energy,Large Cap,2014,2023,4
1245396,WHALEN DAVID G,0.02,0.22,0.40,0.03,0.13,0.21,0.00,0.07,0.17,-0.01,0.09,0.19,0.02,0.15,0.23,26839,80517,3,1,POOL,Consumer Discretionary,Large Cap,2015,2017,2
1245519,SUQUET JOSE S,0.24,0.98,1.14,0.19,0.43,0.60,0.13,0.70,0.82,0.05,0.55,0.54,0.12,0.28,0.32,74925,149850,2,1,RF,Financials,Large Cap,2020,2020,1
1245573,HETTERICH F PAUL,0.19,0.32,0.35,0.07,0.20,0.21,0.06,0.10,0.04,0.12,0.12,0.14,0.13,0.22,0.32,41237.68333,123713.05,3,1,STZ,Consumer Staples,Large Cap,2014,2017,2
1246130,LUNDQUIST NICHOLAS J,59464259554936200.00,62428816452898900.00,73537115303400200.00,-0.11,0.05,0.11,-0.07,0.09,0.19,59464259554936200.00,62428816452898900.00,73537115303400200.00,59464259554936200.00,62428816452898900.00,73537115303400200.00,8140.766,40703.83,5,1,FAST,Industrials,Large Cap,2015,2019,2
1246226,CANNING JOHN A JR,-0.09,-0.04,-0.19,0.05,0.02,0.06,0.11,0.05,0.17,-0.14,-0.06,-0.25,-0.20,-0.09,-0.36,888000,888000,1,1,GLW,Information Technology,Large Cap,2018,2018,1
1246285,DOLAN MICHAEL JOHN,0.08,0.08,0.04,0.13,0.16,0.07,0.15,0.13,0.08,-0.05,-0.08,-0.03,-0.07,-0.05,-0.04,118275,118275,1,1,FAST,Industrials,Large Cap,2021,2021,1
1246989,FRADIN ROGER,-0.10,-0.11,0.02,0.12,0.24,0.42,0.13,0.21,0.38,-0.22,-0.35,-0.39,-0.23,-0.32,-0.36,9643.144444,86788.3,9,1,LHX,Industrials,Large Cap,2019,2020,2
1248032,LOPEZ GERARDO I,0.10,0.33,0.17,0.02,0.15,0.16,0.09,0.15,0.09,0.08,0.18,0.01,0.01,0.18,0.08,212050,212050,1,1,CBRE,Real Estate,Large Cap,2018,2018,1
1248040,KEARNEY CHRISTOPHER J,0.10,0.37,0.29,0.17,0.30,0.40,0.24,0.42,0.47,-0.07,0.07,-0.11,-0.13,-0.05,-0.17,42942.98286,300600.88,7,2,NUE,Materials,Large Cap,2016,2020,2
